index_[thr: 50],img_path,H4W_pve,OSX_pve,l32_pve,H20_pve
10,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00002_ann_id_131656.png,379.2431669756105,428.853392410228,88.99769434006552,114.9358754980763
33,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00004_ann_id_131682.png,158.5666819776324,160.87529707436974,52.44222997138376,85.3414891272704
44,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00005_ann_id_131695.png,332.911181259484,319.2307701836471,138.81528326621685,163.9848433793437
79,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00011_ann_id_131750.png,643.1816722511609,513.1792164599768,102.12788414857016,129.1344282984622
99,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00014_ann_id_131772.png,403.038701543107,372.8040106126762,114.84702320328492,211.14511381254516
131,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00018_ann_id_131812.png,362.9687578652393,355.70479795392185,116.1561854222561,267.56339125408914
150,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00020_ann_id_131836.png,422.3027238359877,385.6252831138107,110.28202106262448,139.3727195095625
153,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00021_ann_id_131842.png,126.06601298158664,127.99363961428678,47.032140287773565,73.21150817537246
158,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00021_ann_id_131848.png,339.55185748984627,389.6573236337161,82.90943353065084,158.5994154663309
160,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00021_ann_id_131851.png,332.70527285613764,333.4520645498488,174.96082542392253,252.48189050587928
174,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00024_ann_id_131872.png,362.2831193394803,286.5942161202178,159.47801431255533,234.06565985364983
218,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00031_ann_id_131947.png,597.6314271556887,269.4218936343305,130.3137289216455,159.42738274374648
251,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00035_ann_id_132002.png,191.2090752963155,361.8548282050964,59.31094567275347,92.51600507299568
252,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00035_ann_id_132003.png,201.1646723488241,140.16126952846258,56.91792820425349,84.7634664354781
270,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00037_ann_id_132023.png,148.48766848854856,167.37613429984478,62.2186854766401,87.52999348020325
287,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00039_ann_id_132044.png,175.396047101246,168.38909486661376,53.90133812474606,109.1649590119824
304,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00041_ann_id_132061.png,290.06923613909873,394.9086016512083,76.84281309208312,157.82433948310398
314,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00043_ann_id_132076.png,123.61718556604984,120.29426622050404,44.36759789110573,70.2909413107587
357,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00048_ann_id_132130.png,594.1408491404982,583.8829567685335,203.28832300420063,300.8208526602642
417,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00057_ann_id_132220.png,386.2047400196657,380.6868380000204,72.42852393726007,103.42011265593815
509,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00071_ann_id_132353.png,214.6817737664172,182.2158840516916,34.42379833775793,67.3912714467045
565,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00080_ann_id_132440.png,623.6522267980436,444.0734448309538,135.5853373867178,170.6956430892272
584,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00083_ann_id_132465.png,426.7804551593164,492.822640887008,149.84964301543366,205.99659531157505
598,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00085_ann_id_132485.png,140.4850588214074,170.06517214610716,46.54034822950971,73.44087218124946
622,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00087_ann_id_132519.png,231.8677952684178,176.72344008186394,61.274104658210696,86.49353857413497
719,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00104_ann_id_132680.png,539.817418799887,447.5692376807269,125.0767633151943,151.07182189287332
737,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00107_ann_id_132711.png,401.2879031746038,362.8607166081979,203.55202989222457,249.10261025073143
775,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00112_ann_id_132765.png,189.80771530614103,237.56703188244504,66.52659370050597,105.47357707330907
828,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00120_ann_id_132850.png,559.1893829792914,270.6248368858852,69.20857592617615,95.9787195829155
858,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00125_ann_id_132896.png,225.0243422017,431.78519847958216,80.36452217183279,118.4905437659246
